left.out	auroc	n	type	group
Langdon_2021_RCDI	0.9378262933080209	141	with_cdiff	all
Kim_2020_CDI	0.9798234552332913	87	with_cdiff	all
Kumar_2017	0.9285714285714286	13	with_cdiff	all
Monaghan_2019_India	0.8135245901639344	93	with_cdiff	all
Podlesny_2020_FMT_RCDI	0.859375	16	with_cdiff	all
PRJNA420371_Alabama	0.8431372549019608	26	with_cdiff	all
Watson_2021_FMT_RCDI	0.95	12	with_cdiff	all
Smillie_2018	0.9545454545454546	26	with_cdiff	all
Stewart_2019	0.7999999999999999	24	with_cdiff	all
Vincent_2016	0.779891304347826	96	with_cdiff	all
Langdon_2021_RCDI	0.9432842904603702	141	without_cdiff	all
Kim_2020_CDI	0.9810844892812106	87	without_cdiff	all
Kumar_2017	0.9047619047619048	13	without_cdiff	all
Monaghan_2019_India	0.766905737704918	93	without_cdiff	all
Podlesny_2020_FMT_RCDI	0.8125	16	without_cdiff	all
PRJNA420371_Alabama	0.9150326797385621	26	without_cdiff	all
Watson_2021_FMT_RCDI	0.8500000000000001	12	without_cdiff	all
Smillie_2018	0.9545454545454546	26	without_cdiff	all
Stewart_2019	0.7357142857142858	24	without_cdiff	all
Vincent_2016	0.7201086956521738	96	without_cdiff	all
Langdon_2021_RCDI	0.9456573327005221	141	with_cdiff	true_controls
Kim_2020_CDI	0.9899117276166456	87	with_cdiff	true_controls
Kumar_2017	0.8333333333333333	13	with_cdiff	true_controls
Monaghan_2019_India	0.7163461538461539	71	with_cdiff	true_controls
Podlesny_2020_FMT_RCDI	0.875	16	with_cdiff	true_controls
PRJNA420371_Alabama	0.7973856209150326	26	with_cdiff	true_controls
Watson_2021_FMT_RCDI	0.9	12	with_cdiff	true_controls
Smillie_2018	0.9659090909090909	26	with_cdiff	true_controls
Stewart_2019	0.75	24	with_cdiff	true_controls
Langdon_2021_RCDI	0.950640721404841	141	without_cdiff	true_controls
Kim_2020_CDI	0.9842370744010088	87	without_cdiff	true_controls
Kumar_2017	0.9047619047619048	13	without_cdiff	true_controls
Monaghan_2019_India	0.6650641025641025	71	without_cdiff	true_controls
Podlesny_2020_FMT_RCDI	0.828125	16	without_cdiff	true_controls
PRJNA420371_Alabama	0.7908496732026143	26	without_cdiff	true_controls
Watson_2021_FMT_RCDI	0.9	12	without_cdiff	true_controls
Smillie_2018	0.9659090909090909	26	without_cdiff	true_controls
Stewart_2019	0.7000000000000001	24	without_cdiff	true_controls
